"","QWE","MI","PI","LOCTot","SocDesTot","MachTot","Sex","BehIntTot","ManCheck_1","ManCheck_2","ManCheck_3","Team"
"1","high","ethical","unethical",39,24,32,"Male",12,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",1
"2","low","ethical","ethical",24,33,18,"Male",11,"Good","It was typical for employees to increase their expense reports","It was difficult to determine what the boss was reporting on his expense reports",1
"3","high","unethical","unethical",27,39,20,"Female",8,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",1
"4","low","ethical","unethical",35,26,32,"Male",8,"Poor","It was typical for employees to increase their expense reports","It was difficult to determine what the boss was reporting on his expense reports",1
"5","low","ethical","ethical",26,35,17,"Female",9,"Poor","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",1
"6","low","unethical","unethical",32,32,20,"Female",16,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",1
"7","high","ethical","ethical",29,37,26,"Male",10,"Good","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",1
"8","low","unethical","ethical",31,32,31,"Female",6,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",1
"9","high","ethical","unethical",25,36,29,"Female",7,"Good","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",1
"10","high","unethical","ethical",20,39,23,"Female",4,"Good","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",1
"11","high","unethical","ethical",36,29,31,"Female",8,"Good","Employees were quite accurate in reporting their trip expenses","The boss increased his expense reports",1
"12","high","unethical","unethical",19,37,22,"Male",8,"Poor","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",1
"13","low","ethical","unethical",38,30,23,"Female",11,"Poor","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",1
"14","low","unethical","ethical",29,34,31,"Female",16,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",1
"15","low","unethical","unethical",30,31,27,"Male",14,"Good","Employees were quite accurate in reporting their trip expenses","The boss increased his expense reports",1
"16","low","ethical","ethical",36,27,27,"Female",8,"Neither good nor poor","Employees were quite accurate in reporting their trip expenses","It was difficult to determine what the boss was reporting on his expense reports",1
"17","high","unethical","unethical",28,34,19,"Female",14,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",1
