Condition,Age,Gender,Education,Language,Eng_Prof,TV_Time,TS1,TS2,TS3,TS4,TS5,TS6,TS7,TS8,TS9,TS10,TS11,TS12,TS13,TS14,TS15,TS16,TS17,TS18,TS19,TS20,TS21,DV1_1,DV1_2,DV1_3,DV1_4,DV1_5,DV2_1,DV2_2,DV2_3,DV2_4,DV2_5,FR1,FR2,FR3,FR4,FR5,FR6,FR7,FR8,FR9,FR10,FR_SUM,DV1_SUM,DV2_SUM,Manip_Ch,Stat_Ch
0,23,1,3,1,2,3,3,2,4,2,3,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,4,1,0,1,0
1,25,1,5,1,,3,5,3,4,3,2,3,4,3,4,2,4,2,2,5,4,4,4,3,4,2,4,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,8,1,1,1,1
1,26,1,3,1,,0.5,4,3,4,4,3,4,4,3,4,4,3,3,4,3,4,4,4,4,4,4,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,2,0,0,1
0,58,1,3,1,,2,2,2,4,4,2,3,4,3,4,3,3,3,4,5,4,4,4,3,2,3,4,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,8,1,0,0,1
0,36,2,5,1,,2,4,4,4,4,4,4,4,3,4,3,3,4,4,4,3,4,4,4,4,4,4,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,8,1,0,1,0
0,38,2,6,1,,3,4,3,3,4,3,5,4,3,4,4,4,2,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,8,0,0,1,1
1,41,2,5,1,,1,4,4,5,4,3,4,4,4,4,4,3,4,4,3,3,4,4,3,4,4,4,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,9,1,1,1,1
1,23,2,5,2,1,0,5,2,5,5,3,5,5,3,4,3,3,3,5,4,4,4,4,4,4,1,5,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,5,2,0,0,1
1,49,2,4,1,,2,4,4,4,2,4,5,3,3,3,2,2,2,4,4,4,4,4,3,3,2,4,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,1,6,1,1,0,1
1,48,1,6,1,,2,5,5,1,5,4,5,3,3,3,3,3,4,3,4,4,4,4,5,4,5,5,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,8,0,2,0,0
0,25,2,4,1,,0,4,4,5,5,2,5,5,4,5,4,5,5,4,5,5,5,5,5,4,3,5,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,6,1,0,1,1
