user_id,Gender,Age,SES,Country,CRA_mean,HCRU_mean,DS_sum,LS_mean
89686,M,61,1,Malaysia,6.125,6,0,1.5
89687,M,26,5,UK,4.375,4.666666666666667,1,3.25
89688,F,48,5,Malaysia,6.125,4.833333333333333,1,2.75
89689,F,25,2,Malaysia,4.375,4.5,7,2.75
89690,M,53,3,Malaysia,4.75,5.5,2,3
89694,F,33,2,Malaysia,5.25,5,2,3
89696,F,41,4,Malaysia,4.625,5.333333333333333,5,3.25
89697,F,36,2,Malaysia,5.5,5.166666666666667,2,2
89698,F,32,2,Malaysia,4.75,4,4,2.25
89699,F,27,1,Malaysia,4,4,0,3.25
89704,F,30,1,Malaysia,7,6.666666666666667,5,4.5
89705,F,38,3,Malaysia,6.875,6,8,2.25
89707,F,26,4,UK,4.125,4.5,3,3
89711,F,32,6,Malaysia,3.875,5.833333333333333,1,3
89712,F,46,3,Malaysia,5,5,3,2.5
89714,F,40,3,Malaysia,1.875,1.5,3,3.5
89716,F,43,4,UK,5.375,5.666666666666667,7,2
89718,F,24,2,UK,5.75,5.666666666666667,2,2.75
89720,F,27,2,Malaysia,6,6,13,3.5
89722,F,28,8,UK,2.25,5.666666666666667,3,3.75
89723,F,20,1,Malaysia,3.5,5.166666666666667,8,3
89725,F,53,7,Malaysia,1.5,1.3333333333333333,1,2
89726,M,49,11,Malaysia,6,7,0,2.75
89729,M,27,1,Malaysia,3.75,5.5,11,5
89730,F,26,2,Malaysia,4,4,7,3.5
89734,F,59,2,Malaysia,4.625,5,7,2
89735,M,32,1,Malaysia,3,4.5,0,3.75
89736,M,39,1,Malaysia,7,7,5,3
89740,F,25,1,Malaysia,5.75,6.333333333333333,0,3.5
89741,F,43,4,Malaysia,1,1,8,3
89743,F,31,2,Malaysia,4.5,4,9,3.25
89747,F,21,1,UK,3.5,4.833333333333333,8,3.5
89748,F,24,1,UK,3,4,8,2.5
89752,F,24,7,UK,4,3.8333333333333335,8,2.75
89754,NA,30,6,UK,4.875,5.166666666666667,5,2.75
89755,F,24,3,UK,3.625,5.833333333333333,6,3.25
89757,F,32,1,Malaysia,4.375,4.666666666666667,4,3
89759,F,31,4,UK,4.375,5.833333333333333,6,3
89760,F,32,2,Malaysia,5.5,5.166666666666667,7,3.75
89761,F,24,11,UK,5.625,4.333333333333333,3,3.5
89767,M,57,7,UK,6.875,4,2,2
89772,NA,25,4,UK,5,4.333333333333333,7,2.5
89773,F,32,4,Malaysia,5.5,6,14,4
89774,F,25,11,UK,5,5,4,3.5
89775,F,50,11,UK,6,6.5,1,3
89776,F,32,2,Malaysia,3.5,4,12,3.25
89777,F,35,6,Malaysia,1.5,7,3,2
89779,F,59,4,UK,3.875,4,2,2.5
89784,M,36,9,UK,5.125,4.5,2,2.25
89792,F,36,9,UK,5.625,6.333333333333333,1,2
89795,F,23,10,UK,4.125,5.833333333333333,2,2
89797,F,24,3,UK,4.875,4,1,2
89800,F,24,4,UK,5.125,5,3,3.25
89801,F,56,1,Malaysia,4.375,6.833333333333333,2,1.75
89802,M,24,2,Malaysia,4.875,5.833333333333333,2,3
89804,M,31,4,Malaysia,5.625,5.833333333333333,0,3
89805,F,29,2,Malaysia,4.625,4.833333333333333,1,2.5
89808,F,31,2,Malaysia,3.5,3.3333333333333335,3,3.5
89809,F,32,1,Malaysia,7,7,0,1
89810,F,33,6,Malaysia,3.625,4,6,4.25
89811,M,32,3,Malaysia,4.25,2.6666666666666665,2,2
89812,F,29,2,Malaysia,5.125,5,11,4.25
89814,M,21,4,UK,5.25,3.1666666666666665,4,4.25
89815,F,31,2,Malaysia,4.375,5.166666666666667,3,2.5
89816,F,32,4,Malaysia,5.375,5.5,1,2
89817,F,32,2,Malaysia,4.75,4.666666666666667,4,3
89818,F,33,1,Malaysia,3.75,5,5,3.5
89820,F,31,1,Malaysia,3.375,3,6,4
89821,M,29,1,Malaysia,7,7,1,2
89823,F,30,1,Malaysia,4,4,10,3
89824,F,23,12,UK,5,3.8333333333333335,2,2
89825,M,3w,6,UK,5.875,6,5,2.75
89826,F,28,4,UK,3.375,3.6666666666666665,7,4.25
89827,F,32,3,UK,5.25,4.833333333333333,3,2.25
89828,F,24,3,UK,5.375,4.333333333333333,2,4.75
89829,F,28,8,UK,5.625,5,8,3
89832,F,24,6,UK,3.5,3,9,3.5
89903,M,32,2,Malaysia,3.875,3.8333333333333335,10,3.75
89925,F,32,1,Malaysia,6.25,6.666666666666667,7,3
90058,M,30,3,UK,5.125,5.333333333333333,3,2.5
90164,F,27,11,UK,2.75,3.3333333333333335,7,3
90168,M,28,4,UK,3.75,3.1666666666666665,12,3
90187,F,52,11,UK,6.125,5.833333333333333,1,2.75
90193,F,25,4,UK,3.125,4.666666666666667,9,2.75
90196,F,45,6,UK,3.375,4.333333333333333,8,3
90197,F,25,4,UK,4.5,4.666666666666667,5,4
90200,M,26,6,Malaysia,6.375,7,7,2.5
90203,M,57,9,UK,5.75,5.833333333333333,1,2.5
90204,F,27,5,UK,4.125,3.8333333333333335,3,2.75
90205,F,38,5,UK,3.125,3.5,10,4
90206,F,21,1,Malaysia,5,5.5,12,3.5
90208,F,31,7,UK,6.125,5.333333333333333,2,2
90211,F,27,5,UK,4.75,4.833333333333333,10,3
90215,F,52,6,UK,6,5.5,4,2.25
90216,F,42,10,UK,5.625,4.833333333333333,5,3.75
90217,F,25,3,UK,3.25,3.6666666666666665,13,3.5
90219,F,37,9,UK,5.75,5.166666666666667,5,2.5
90222,F,25,11,UK,6.5,7,3,1.75
90223,F,52,7,UK,6.625,6.5,3,2.25
90225,F,28,4,UK,4.875,4.166666666666667,7,3.5
