PS,Household_Income,Political_Preference,age,gender,Population_Inequality_Gini_Index,Population_Mean_Income,Social_Circle_Inequality_Gini_Index,Social_Circle_Mean_Income,fairness_satisfaction,redistribution
233,NA,5,40,2,38.7829379101464,29715,28.0567375886525,21150,1,5.5
157,20,5,59,2,37.2145110410095,123630,24.3233876520542,65355,3.5,3.25
275,100,5,41,2,20.75,60000,14.4425770308123,107100,5,3.75
111,150,8,59,2,35.3795804902704,59355,26.9259002770083,86640,7,2.75
52,500,5,35,1,16.875,15360,21.401055408971,56850,4.5,3
11,600,3,34,2,40.9244791666667,57600,37.0882426673352,59835,2.5,3.75
76,600,4,36,2,35.7271038454393,80745,23.6694356217933,61395,3,4.25
90,600,3,39,2,36.5702697604226,79515,7.14285714285707,52500,4.5,3.5
93,600,2,40,2,44.7781120722076,39885,49.3891213389121,35850,4,3.75
104,680,3,31,1,31.7237851662404,58650,30.9116075764935,61770,4.5,3.5
26,1000,NA,53,NA,51.4852752880922,46860,35.4034707158351,103725,4.5,4.75
259,1000,4,19,1,14.2629355860612,14205,21.7667984189723,18975,4.5,3
255,1100,5,27,1,32.3350331463539,29415,26.4480408858603,17610,1,5.25
176,1200,3,49,2,47.7078507078507,58275,29.5,22800,3,5.25
51,1400,5,64,2,26.7780493766805,61365,25.5443916697114,82110,2.5,4
92,1600,3,47,1,42.2618888144675,44790,46.8279301745636,60150,2,3.5
18,2000,9,34,2,25.4652455977757,32370,33.2714285714286,52500,5,3.5
122,3800,5,28,2,18.111821086262,46950,30.2039151712887,45975,5,3
206,4000,2,26,2,34.7098681218736,65970,33.1297257227576,40470,2,5
294,4000,7,34,2,19.4477611940298,40200,20.5379310344828,43500,3,3.75
123,4200,8,24,2,20.6921533212924,74745,38.6588628762542,44850,9,2.25
83,5000,5,30,1,36.20041393584,43485,30.8291054739653,44940,4.5,4
156,5000,5,36,2,33.0158982511924,47175,33.0323785803238,60225,6,2.5
220,5299.99,3,56,2,19.3998797354179,49890,12.3125,48000,3,5.25
185,5583,5,33,1,34.1440743609605,77460,17.7922192749779,84825,3,4.5
48,6000,5,57,1,51.5130586186883,51690,40.5964611872146,52560,1,5
